bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio
231,92,0.39826839826839827,0.8095238095238095,-4400.0,kawasaki,basic,0.0,0.5
185,76,0.41081081081081083,0.8726126126126126,-2356.666666666668,kawasaki,basic,0.0,0.6
139,59,0.4244604316546763,0.9446043165467626,-770.0,kawasaki,basic,0.0,0.7
157,70,0.445859872611465,0.8087048832271762,-3003.333333333334,kawasaki,basic,0.02,0.5
134,60,0.44776119402985076,0.894278606965174,-1416.6666666666679,kawasaki,basic,0.02,0.6
97,44,0.4536082474226804,0.8536082474226804,-1420.0,kawasaki,basic,0.02,0.7
146,67,0.4589041095890411,0.7942922374429224,-3003.333333333332,kawasaki,basic,0.03,0.5
119,52,0.4369747899159664,0.8750700280112045,-1486.666666666666,kawasaki,basic,0.03,0.6
87,38,0.4367816091954023,0.8287356321839079,-1490.000000000001,kawasaki,basic,0.03,0.7
129,62,0.4806201550387597,0.8470284237726099,-1973.3333333333321,kawasaki,basic,0.05,0.5
99,44,0.4444444444444444,0.9164983164983164,-826.6666666666679,kawasaki,basic,0.05,0.6
71,32,0.4507042253521127,0.8981220657276995,-723.3333333333339,kawasaki,basic,0.05,0.7
100,49,0.49,0.8726666666666666,-1273.333333333334,kawasaki,basic,0.07,0.5
83,41,0.4939759036144578,1.0244979919678714,203.33333333333212,kawasaki,basic,0.07,0.6
63,29,0.4603174603174603,0.9375661375661375,-393.33333333333394,kawasaki,basic,0.07,0.7
68,37,0.5441176470588235,0.8857843137254903,-776.6666666666661,kawasaki,basic,0.1,0.5
63,32,0.5079365079365079,0.8862433862433862,-716.666666666667,kawasaki,basic,0.1,0.6
42,20,0.47619047619047616,1.0388888888888888,163.33333333333303,kawasaki,basic,0.1,0.7
34,17,0.5,0.8794117647058823,-410.0,kawasaki,basic,0.15,0.5
32,15,0.46875,0.66875,-1060.0,kawasaki,basic,0.15,0.6
19,10,0.5263157894736842,0.6947368421052632,-580.0,kawasaki,basic,0.15,0.7
17,8,0.47058823529411764,0.9882352941176471,-20.0,kawasaki,basic,0.2,0.5
17,9,0.5294117647058824,0.7470588235294118,-430.0,kawasaki,basic,0.2,0.6
6,3,0.5,0.65,-210.0,kawasaki,basic,0.2,0.7
231,91,0.3939393939393939,0.8230880230880232,-4086.6666666666642,kawasaki,rank,0.0,0.5
185,75,0.40540540540540543,0.9491891891891892,-940.0,kawasaki,rank,0.0,0.6
139,56,0.4028776978417266,0.9841726618705036,-220.0,kawasaki,rank,0.0,0.7
153,64,0.41830065359477125,0.8296296296296296,-2606.666666666668,kawasaki,rank,0.02,0.5
133,56,0.42105263157894735,0.9586466165413534,-550.0,kawasaki,rank,0.02,0.6
94,42,0.44680851063829785,0.9882978723404255,-110.0,kawasaki,rank,0.02,0.7
134,58,0.43283582089552236,0.7940298507462686,-2760.0,kawasaki,rank,0.03,0.5
111,44,0.3963963963963964,0.9447447447447447,-613.3333333333339,kawasaki,rank,0.03,0.6
88,37,0.42045454545454547,0.9795454545454545,-180.0,kawasaki,rank,0.03,0.7
106,46,0.4339622641509434,0.7679245283018868,-2460.0,kawasaki,rank,0.05,0.5
85,36,0.4235294117647059,0.9509803921568627,-416.66666666666697,kawasaki,rank,0.05,0.6
75,32,0.4266666666666667,0.8488888888888889,-1133.333333333333,kawasaki,rank,0.05,0.7
71,32,0.4507042253521127,0.8169014084507041,-1300.000000000001,kawasaki,rank,0.07,0.5
71,32,0.4507042253521127,1.063849765258216,453.33333333333303,kawasaki,rank,0.07,0.6
61,24,0.39344262295081966,0.755191256830601,-1493.333333333334,kawasaki,rank,0.07,0.7
50,24,0.48,0.9106666666666667,-446.66666666666606,kawasaki,rank,0.1,0.5
57,25,0.43859649122807015,0.9725146198830409,-156.66666666666697,kawasaki,rank,0.1,0.6
36,15,0.4166666666666667,0.812037037037037,-676.666666666667,kawasaki,rank,0.1,0.7
29,14,0.4827586206896552,0.8241379310344827,-510.0,kawasaki,rank,0.15,0.5
32,13,0.40625,1.0260416666666665,83.33333333333303,kawasaki,rank,0.15,0.6
21,9,0.42857142857142855,0.7873015873015873,-446.66666666666674,kawasaki,rank,0.15,0.7
15,8,0.5333333333333333,1.08,120.0,kawasaki,rank,0.2,0.5
22,10,0.45454545454545453,1.1696969696969695,373.33333333333303,kawasaki,rank,0.2,0.6
12,5,0.4166666666666667,0.986111111111111,-16.666666666666742,kawasaki,rank,0.2,0.7
231,86,0.3722943722943723,0.7542568542568542,-5676.666666666668,kawasaki,relative,0.0,0.5
185,72,0.3891891891891892,0.8884684684684684,-2063.3333333333358,kawasaki,relative,0.0,0.6
139,56,0.4028776978417266,0.8611510791366906,-1930.0,kawasaki,relative,0.0,0.7
165,65,0.3939393939393939,0.715959595959596,-4686.666666666666,kawasaki,relative,0.02,0.5
132,53,0.4015151515151515,0.8512626262626262,-1963.333333333334,kawasaki,relative,0.02,0.6
101,41,0.40594059405940597,0.7834983498349835,-2186.666666666667,kawasaki,relative,0.02,0.7
153,62,0.40522875816993464,0.7477124183006536,-3860.0,kawasaki,relative,0.03,0.5
122,50,0.4098360655737705,0.8997267759562841,-1223.333333333334,kawasaki,relative,0.03,0.6
91,37,0.4065934065934066,0.8058608058608058,-1766.666666666667,kawasaki,relative,0.03,0.7
140,57,0.40714285714285714,0.744047619047619,-3583.333333333334,kawasaki,relative,0.05,0.5
103,45,0.4368932038834951,0.9307443365695792,-713.3333333333339,kawasaki,relative,0.05,0.6
73,30,0.410958904109589,0.7621004566210046,-1736.666666666667,kawasaki,relative,0.05,0.7
127,53,0.41732283464566927,0.7753280839895013,-2853.333333333334,kawasaki,relative,0.07,0.5
86,39,0.45348837209302323,0.9403100775193798,-513.3333333333339,kawasaki,relative,0.07,0.6
55,21,0.38181818181818183,0.7933333333333332,-1136.666666666667,kawasaki,relative,0.07,0.7
106,43,0.4056603773584906,0.7468553459119497,-2683.333333333333,kawasaki,relative,0.1,0.5
67,27,0.40298507462686567,0.8651741293532338,-903.3333333333339,kawasaki,relative,0.1,0.6
43,20,0.46511627906976744,0.9775193798449612,-96.66666666666697,kawasaki,relative,0.1,0.7
61,27,0.4426229508196721,0.8786885245901639,-740.0,kawasaki,relative,0.15,0.5
47,20,0.425531914893617,0.9375886524822694,-293.33333333333394,kawasaki,relative,0.15,0.6
30,15,0.5,1.1277777777777778,383.33333333333303,kawasaki,relative,0.15,0.7
38,19,0.5,0.9912280701754386,-33.333333333333485,kawasaki,relative,0.2,0.5
28,14,0.5,1.1726190476190474,483.33333333333303,kawasaki,relative,0.2,0.6
18,9,0.5,1.485185185185185,873.333333333333,kawasaki,relative,0.2,0.7
231,92,0.39826839826839827,0.8095238095238095,-4400.0,kawasaki,combo,0.0,0.5
185,76,0.41081081081081083,0.8726126126126126,-2356.666666666668,kawasaki,combo,0.0,0.6
139,59,0.4244604316546763,0.9446043165467626,-770.0,kawasaki,combo,0.0,0.7
157,70,0.445859872611465,0.8087048832271762,-3003.333333333334,kawasaki,combo,0.02,0.5
134,60,0.44776119402985076,0.894278606965174,-1416.6666666666679,kawasaki,combo,0.02,0.6
97,44,0.4536082474226804,0.8536082474226804,-1420.0,kawasaki,combo,0.02,0.7
146,67,0.4589041095890411,0.7942922374429224,-3003.333333333332,kawasaki,combo,0.03,0.5
119,52,0.4369747899159664,0.8750700280112045,-1486.666666666666,kawasaki,combo,0.03,0.6
87,38,0.4367816091954023,0.8287356321839079,-1490.000000000001,kawasaki,combo,0.03,0.7
129,62,0.4806201550387597,0.8470284237726099,-1973.3333333333321,kawasaki,combo,0.05,0.5
99,44,0.4444444444444444,0.9164983164983164,-826.6666666666679,kawasaki,combo,0.05,0.6
71,32,0.4507042253521127,0.8981220657276995,-723.3333333333339,kawasaki,combo,0.05,0.7
100,49,0.49,0.8726666666666666,-1273.333333333334,kawasaki,combo,0.07,0.5
83,41,0.4939759036144578,1.0244979919678714,203.33333333333212,kawasaki,combo,0.07,0.6
63,29,0.4603174603174603,0.9375661375661375,-393.33333333333394,kawasaki,combo,0.07,0.7
68,37,0.5441176470588235,0.8857843137254903,-776.6666666666661,kawasaki,combo,0.1,0.5
63,32,0.5079365079365079,0.8862433862433862,-716.666666666667,kawasaki,combo,0.1,0.6
42,20,0.47619047619047616,1.0388888888888888,163.33333333333303,kawasaki,combo,0.1,0.7
34,17,0.5,0.8794117647058823,-410.0,kawasaki,combo,0.15,0.5
32,15,0.46875,0.66875,-1060.0,kawasaki,combo,0.15,0.6
19,10,0.5263157894736842,0.6947368421052632,-580.0,kawasaki,combo,0.15,0.7
17,8,0.47058823529411764,0.9882352941176471,-20.0,kawasaki,combo,0.2,0.5
17,9,0.5294117647058824,0.7470588235294118,-430.0,kawasaki,combo,0.2,0.6
6,3,0.5,0.65,-210.0,kawasaki,combo,0.2,0.7
231,82,0.354978354978355,0.7725829725829725,-5253.333333333336,kawasaki,full,0.0,0.5
185,78,0.42162162162162165,0.9162162162162162,-1550.0,kawasaki,full,0.0,0.6
139,53,0.381294964028777,0.76810551558753,-3223.333333333332,kawasaki,full,0.0,0.7
187,67,0.3582887700534759,0.7254901960784315,-5133.333333333332,kawasaki,full,0.02,0.5
128,54,0.421875,0.8546875,-1860.0,kawasaki,full,0.02,0.6
112,43,0.38392857142857145,0.6639880952380952,-3763.333333333334,kawasaki,full,0.02,0.7
169,61,0.3609467455621302,0.7412228796844181,-4373.333333333334,kawasaki,full,0.03,0.5
115,49,0.4260869565217391,0.8947826086956522,-1210.0,kawasaki,full,0.03,0.6
104,40,0.38461538461538464,0.6535256410256409,-3603.333333333334,kawasaki,full,0.03,0.7
150,57,0.38,0.7971111111111111,-3043.333333333334,kawasaki,full,0.05,0.5
96,43,0.4479166666666667,0.898611111111111,-973.3333333333339,kawasaki,full,0.05,0.6
81,32,0.3950617283950617,0.7131687242798355,-2323.333333333333,kawasaki,full,0.05,0.7
127,51,0.4015748031496063,0.8674540682414698,-1683.333333333334,kawasaki,full,0.07,0.5
85,41,0.4823529411764706,0.9384313725490195,-523.3333333333339,kawasaki,full,0.07,0.6
71,30,0.4225352112676056,0.7488262910798121,-1783.333333333334,kawasaki,full,0.07,0.7
98,41,0.41836734693877553,0.979251700680272,-203.33333333333394,kawasaki,full,0.1,0.5
66,33,0.5,0.9767676767676767,-153.33333333333394,kawasaki,full,0.1,0.6
52,23,0.4423076923076923,0.8352564102564102,-856.666666666667,kawasaki,full,0.1,0.7
68,31,0.45588235294117646,1.0549019607843138,373.33333333333303,kawasaki,full,0.15,0.5
42,24,0.5714285714285714,1.2007936507936507,843.333333333333,kawasaki,full,0.15,0.6
28,14,0.5,1.0011904761904762,3.33333333333303,kawasaki,full,0.15,0.7
44,21,0.4772727272727273,1.1409090909090909,620.0,kawasaki,full,0.2,0.5
24,15,0.625,1.247222222222222,593.333333333333,kawasaki,full,0.2,0.6
17,9,0.5294117647058824,1.111764705882353,190.0,kawasaki,full,0.2,0.7
1705,837,0.4909090909090909,0.3013880742913001,-119113.33333333334,ohi,basic,0.0,0.5
1364,685,0.5021994134897361,0.4031524926686217,-81410.0,ohi,basic,0.0,0.6
1023,508,0.4965786901270772,0.517367220593027,-49373.333333333336,ohi,basic,0.0,0.7
1359,685,0.5040470934510669,0.30414520480745644,-94566.66666666667,ohi,basic,0.02,0.5
1130,583,0.515929203539823,0.4011209439528024,-67673.33333333333,ohi,basic,0.02,0.6
828,410,0.49516908212560384,0.4913446054750403,-42116.666666666664,ohi,basic,0.02,0.7
1267,643,0.5074980268350434,0.2943962115232833,-89400.0,ohi,basic,0.03,0.5
1046,545,0.5210325047801148,0.39506054811982155,-63276.666666666664,ohi,basic,0.03,0.6
772,387,0.5012953367875648,0.4870898100172711,-39596.66666666667,ohi,basic,0.03,0.7
1070,556,0.5196261682242991,0.2743613707165109,-77643.33333333333,ohi,basic,0.05,0.5
919,483,0.5255712731229597,0.3777294160319188,-57186.666666666664,ohi,basic,0.05,0.6
681,339,0.4977973568281938,0.463191385217817,-36556.666666666664,ohi,basic,0.05,0.7
911,479,0.5257958287596048,0.2660812294182217,-66860.0,ohi,basic,0.07,0.5
752,393,0.5226063829787234,0.3535460992907802,-48613.33333333333,ohi,basic,0.07,0.6
591,299,0.505922165820643,0.47270163564579815,-31163.33333333333,ohi,basic,0.07,0.7
718,388,0.5403899721448467,0.2692200557103064,-52470.0,ohi,basic,0.1,0.5
600,321,0.535,0.36033333333333334,-38380.0,ohi,basic,0.1,0.6
444,238,0.536036036036036,0.4692942942942943,-23563.333333333332,ohi,basic,0.1,0.7
462,260,0.5627705627705628,0.29119769119769123,-32746.666666666664,ohi,basic,0.15,0.5
393,214,0.544529262086514,0.387362171331637,-24076.666666666668,ohi,basic,0.15,0.6
274,154,0.5620437956204379,0.48236009732360097,-14183.333333333334,ohi,basic,0.15,0.7
266,151,0.5676691729323309,0.35,-17290.0,ohi,basic,0.2,0.5
214,121,0.5654205607476636,0.44485981308411215,-11880.0,ohi,basic,0.2,0.6
172,101,0.5872093023255814,0.5063953488372093,-8490.0,ohi,basic,0.2,0.7
1705,805,0.47214076246334313,0.34615835777126097,-111480.0,ohi,rank,0.0,0.5
1364,636,0.4662756598240469,0.3861681329423265,-83726.66666666666,ohi,rank,0.0,0.6
1023,477,0.4662756598240469,0.49635060280221577,-51523.33333333333,ohi,rank,0.0,0.7
1427,688,0.4821303433777155,0.335131978509694,-94876.66666666666,ohi,rank,0.02,0.5
1141,561,0.49167397020157755,0.40081799591002043,-68366.66666666667,ohi,rank,0.02,0.6
849,407,0.4793875147232038,0.505496662740479,-41983.333333333336,ohi,rank,0.02,0.7
1310,635,0.4847328244274809,0.32725190839694657,-88130.0,ohi,rank,0.03,0.5
1039,519,0.49951876804619827,0.3983638113570741,-62510.0,ohi,rank,0.03,0.6
778,372,0.4781491002570694,0.4928449014567266,-39456.66666666667,ohi,rank,0.03,0.7
1119,540,0.48257372654155495,0.31194518915698544,-76993.33333333333,ohi,rank,0.05,0.5
890,455,0.5112359550561798,0.3866666666666667,-54586.666666666664,ohi,rank,0.05,0.6
661,323,0.4886535552193646,0.48769541099344427,-33863.33333333333,ohi,rank,0.05,0.7
928,461,0.49676724137931033,0.3109554597701149,-63943.333333333336,ohi,rank,0.07,0.5
759,392,0.5164690382081687,0.3817303469477383,-46926.666666666664,ohi,rank,0.07,0.6
565,281,0.49734513274336284,0.4965781710914455,-28443.333333333332,ohi,rank,0.07,0.7
713,365,0.511921458625526,0.29794296400187004,-50056.66666666667,ohi,rank,0.1,0.5
594,308,0.5185185185185185,0.39753086419753086,-35786.66666666667,ohi,rank,0.1,0.6
439,226,0.5148063781321185,0.5244495064540623,-20876.666666666664,ohi,rank,0.1,0.7
471,266,0.564755838641189,0.2956121726822364,-33176.666666666664,ohi,rank,0.15,0.5
396,216,0.5454545454545454,0.40025252525252525,-23750.0,ohi,rank,0.15,0.6
284,159,0.5598591549295775,0.5152582159624413,-13766.666666666668,ohi,rank,0.15,0.7
293,178,0.6075085324232082,0.3389078498293515,-19370.0,ohi,rank,0.2,0.5
235,135,0.574468085106383,0.4072340425531915,-13930.0,ohi,rank,0.2,0.6
159,96,0.6037735849056604,0.559748427672956,-7000.0,ohi,rank,0.2,0.7
1705,779,0.45689149560117304,0.2903225806451613,-121000.0,ohi,relative,0.0,0.5
1364,619,0.4538123167155425,0.3752932551319648,-85210.0,ohi,relative,0.0,0.6
1023,469,0.458455522971652,0.5104268491365266,-50083.33333333333,ohi,relative,0.0,0.7
1412,668,0.4730878186968839,0.29808781869688383,-99110.0,ohi,relative,0.02,0.5
1136,533,0.46919014084507044,0.3823943661971831,-70160.0,ohi,relative,0.02,0.6
861,410,0.47619047619047616,0.521602787456446,-41190.0,ohi,relative,0.02,0.7
1295,630,0.4864864864864865,0.30625482625482625,-89840.0,ohi,relative,0.03,0.5
1040,491,0.4721153846153846,0.3784935897435897,-64636.66666666667,ohi,relative,0.03,0.6
792,377,0.476010101010101,0.5125841750841751,-38603.333333333336,ohi,relative,0.03,0.7
1085,535,0.4930875576036866,0.28488479262672806,-77590.0,ohi,relative,0.05,0.5
879,424,0.48236632536973834,0.3594235874099355,-56306.66666666667,ohi,relative,0.05,0.6
656,322,0.49085365853658536,0.5078252032520324,-32286.66666666667,ohi,relative,0.05,0.7
883,447,0.5062287655719139,0.2823707059267648,-63366.66666666667,ohi,relative,0.07,0.5
741,358,0.48313090418353577,0.35690508322087267,-47653.333333333336,ohi,relative,0.07,0.6
561,287,0.5115864527629234,0.5228163992869875,-26770.0,ohi,relative,0.07,0.7
683,349,0.5109809663250366,0.290141532454856,-48483.33333333333,ohi,relative,0.1,0.5
555,277,0.4990990990990991,0.3412012012012012,-36563.333333333336,ohi,relative,0.1,0.6
429,230,0.5361305361305362,0.5088578088578088,-21070.0,ohi,relative,0.1,0.7
419,217,0.5178997613365155,0.29260143198090693,-29640.0,ohi,relative,0.15,0.5
340,179,0.5264705882352941,0.365,-21590.0,ohi,relative,0.15,0.6
260,141,0.5423076923076923,0.5357692307692308,-12070.0,ohi,relative,0.15,0.7
218,112,0.5137614678899083,0.25321100917431194,-16280.0,ohi,relative,0.2,0.5
183,100,0.546448087431694,0.414936247723133,-10706.666666666666,ohi,relative,0.2,0.6
150,82,0.5466666666666666,0.5584444444444445,-6623.333333333332,ohi,relative,0.2,0.7
1705,829,0.48621700879765395,0.3037927663734115,-118703.33333333334,ohi,combo,0.0,0.5
1364,673,0.4934017595307918,0.3956744868035191,-82430.0,ohi,combo,0.0,0.6
1023,490,0.4789833822091887,0.5216682958618443,-48933.33333333333,ohi,combo,0.0,0.7
1449,719,0.49620427881297446,0.2986887508626639,-101620.0,ohi,combo,0.02,0.5
1103,551,0.499546690843155,0.3786038077969175,-68540.0,ohi,combo,0.02,0.6
844,424,0.5023696682464455,0.5242890995260664,-40150.0,ohi,combo,0.02,0.7
1274,641,0.5031397174254317,0.30091575091575096,-89063.33333333333,ohi,combo,0.03,0.5
1009,508,0.5034687809712587,0.3806078625702015,-62496.666666666664,ohi,combo,0.03,0.6
784,396,0.5051020408163265,0.5188775510204081,-37720.0,ohi,combo,0.03,0.7
1084,557,0.5138376383763837,0.29603321033210334,-76310.0,ohi,combo,0.05,0.5
884,449,0.5079185520361991,0.3825037707390649,-54586.666666666664,ohi,combo,0.05,0.6
672,338,0.5029761904761905,0.4698412698412699,-35626.666666666664,ohi,combo,0.05,0.7
904,477,0.5276548672566371,0.30106932153392335,-63183.33333333333,ohi,combo,0.07,0.5
733,379,0.5170532060027285,0.38362892223738065,-45180.0,ohi,combo,0.07,0.6
573,288,0.5026178010471204,0.4700407213496218,-30366.666666666668,ohi,combo,0.07,0.7
713,380,0.5329593267882188,0.3124357176250584,-49023.333333333336,ohi,combo,0.1,0.5
586,308,0.5255972696245734,0.36905574516496015,-36973.333333333336,ohi,combo,0.1,0.6
452,231,0.5110619469026548,0.45663716814159294,-24560.0,ohi,combo,0.1,0.7
480,267,0.55625,0.3013194444444445,-33536.666666666664,ohi,combo,0.15,0.5
410,225,0.5487804878048781,0.393739837398374,-24856.666666666668,ohi,combo,0.15,0.6
286,156,0.5454545454545454,0.4466200466200466,-15826.666666666666,ohi,combo,0.15,0.7
268,152,0.5671641791044776,0.30883084577114434,-18523.333333333332,ohi,combo,0.2,0.5
223,125,0.5605381165919282,0.4213751868460389,-12903.333333333332,ohi,combo,0.2,0.6
166,88,0.5301204819277109,0.503413654618474,-8243.333333333332,ohi,combo,0.2,0.7
1705,829,0.48621700879765395,0.3094232649071359,-117743.33333333333,ohi,full,0.0,0.5
1364,645,0.47287390029325516,0.40625610948191593,-80986.66666666666,ohi,full,0.0,0.6
1023,509,0.4975562072336266,0.5602150537634409,-44989.99999999999,ohi,full,0.0,0.7
1453,724,0.49827942188575364,0.31149346180316584,-100040.0,ohi,full,0.02,0.5
1165,574,0.4927038626609442,0.41310443490701004,-68373.33333333333,ohi,full,0.02,0.6
881,446,0.5062429057888763,0.5589103291713962,-38860.0,ohi,full,0.02,0.7
1347,673,0.49962880475129917,0.307720861172977,-93250.0,ohi,full,0.03,0.5
1075,537,0.49953488372093025,0.42514728682170544,-61796.666666666664,ohi,full,0.03,0.6
805,419,0.5204968944099378,0.5580538302277432,-35576.66666666667,ohi,full,0.03,0.7
1114,567,0.5089766606822262,0.30643327348892885,-77263.33333333333,ohi,full,0.05,0.5
908,463,0.5099118942731278,0.4234948604992658,-52346.666666666664,ohi,full,0.05,0.6
675,359,0.5318518518518518,0.530716049382716,-31676.66666666667,ohi,full,0.05,0.7
921,468,0.50814332247557,0.30401737242128124,-64100.0,ohi,full,0.07,0.5
768,400,0.5208333333333334,0.424609375,-44190.0,ohi,full,0.07,0.6
584,319,0.5462328767123288,0.5237442922374429,-27813.333333333332,ohi,full,0.07,0.7
721,387,0.536754507628294,0.3138233934350439,-49473.333333333336,ohi,full,0.1,0.5
575,319,0.5547826086956522,0.4394202898550725,-32233.333333333332,ohi,full,0.1,0.6
446,246,0.5515695067264574,0.505680119581465,-22046.666666666664,ohi,full,0.1,0.7
446,248,0.5560538116591929,0.3332585949177877,-29736.666666666668,ohi,full,0.15,0.5
347,194,0.5590778097982709,0.4048030739673391,-20653.333333333332,ohi,full,0.15,0.6
285,170,0.5964912280701754,0.4957894736842105,-14370.0,ohi,full,0.15,0.7
247,143,0.5789473684210527,0.3406207827260459,-16286.666666666666,ohi,full,0.2,0.5
197,112,0.5685279187817259,0.41455160744500846,-11533.333333333332,ohi,full,0.2,0.6
146,90,0.6164383561643836,0.5404109589041096,-6710.0,ohi,full,0.2,0.7
